10	10	0.050462174
30	10	0.114085779
50	10	0.06241881
70	10	0.020405331
90	10	-0.131883083
		
10	30	0.315421525
30	30	0.163476438
50	30	0.03029376
70	30	-0.131883083
90	30	-0.382379034
		
10	50	0.400949625
30	50	0.213204519
50	50	0.061148163
70	50	-0.254758302
90	50	-0.41822433
		
10	70	0.441429044
30	70	0.302884868
50	70	0.089758174
70	70	-0.305878871
90	70	-0.531724067
		
10	90	0.400949625
30	90	0.289503672
50	90	0.094454935
70	90	-0.353997437
90	90	-0.490546949
		
10	110	0.223030968
30	110	0.17891717
50	110	0.108270591
70	110	-0.170375111
90	110	-0.350496627
