10	10	0.03029376
10	30	0.084012312
10	50	0.032597145
10	70	0.032955098
10	90	-0.140374986
10	110	-0.153423922
		
30	10	0.274167451
30	30	0.163476438
30	50	0.153423922
30	70	0.041642579
30	90	-0.229904428
30	110	-0.337622237
		
50	10	0.293367012
50	30	0.160230684
50	50	0.171760151
50	70	0.019997334
50	90	-0.296278358
50	110	-0.382379034
		
70	10	0.230521839
70	30	0.121842437
70	50	0.10379234
70	70	0.052583062
70	90	-0.172190815
70	110	-0.321750554
		
90	10	0.131883083
90	30	0
90	50	0.011110654
90	70	0
90	90	-0.034077712
90	110	0.064426839
